id,광역시,시/군/구,동/읍,운동 종류,센터 이름,주소,전화번호,운영 시간,사진,기타 정보,센터 정보(설명),무료로 이용할 수 있어요,따로 준비하면 좋아요,위도,경도
1,서울특별시,용산구,청파동,PT&헬스,MCTGYM 용상,서울 용산구 청파로 251 용산 다올 노블리움 지하1층,0507-1375-7537,24시간 영업,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231226_143%2F1703582837348WDbJY_JPEG%2FKakaoTalk_20231226_170101223_06.jpg,,"파워 리프팅의 메카, MCTGYM 용상에서 당신의 한계를 뛰어넘으세요. 최신 장비와 함께 체계적인 코칭으로 최고의 성과를 보장합니다. 중량 운동의 진수를 경험하고 싶은 분들에게 강력 추천합니다. 당신의 근력 목표를 이곳에서 실현해보세요.","샤워실 공용락커 운동복 타월
",운동화,37.541910094919,126.970364691772
2,서울특별시,용산구,청파동,PT&헬스,밸런스 핏,서울 용산구 청파로47길 49 캠퍼스프라자 4층,0507-1397-6377,평일 06:00-24:00 토요일 09:00-18:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MjZfMjI5%2FMDAxNzI0NjUyNTU2NTI2.CO4I7YccPt6f9Xx8y9fsFejf7asEfhDtXfLaNtKLrBEg.MtUU5mZFQxNBjOo7NF6Zk9FINkwOEIL_O3aa0zaggR0g.JPEG%2F1000039811.jpg.jpg%3Ftype%3Dw1500_60_sharpen,,일상 속 균형을 찾고 싶은 당신을 위한 밸런스 핏. 기능성 트레이닝과 맞춤형 운동 프로그램으로 체형 교정과 건강한 몸을 만듭니다. 다양한 수업과 개인 트레이너와 함께 균형 잡힌 몸과 마음을 되찾아보세요. 편안하고 세련된 분위기에서 운동의 즐거움을 느낄 수 있습니다.,샤워실 공용락커 운동복 타월,운동화,37.5445841559546,126.967563904498
3,서울특별시,용산구,청파동,PT&헬스,휘트니스엠 공덕2호점,서울 마포구 마포대로 130 지하1층,0507-1422-6655,평일 06:00-23:00 주말 10:00-21:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MjNfMTg0%2FMDAxNzI0NDE5ODg4MDYw.P4oMV2DW654W2h3XrioDDRjjh6LGVwICOQdoPh3nT-Mg.EhE2W7knfk5s6uZ4X69nzkOOskxVK_cW4D_iDmq-eCMg.JPEG%2F50BB290A-0950-4059-8E47-919DE324EF90.jpeg%3Ftype%3Dw1500_60_sharpen,,도심 속에서도 여유를 느낄 수 있는 휘트니스엠 공덕2호점. 넓고 쾌적한 공간에서 최신식 기구와 다양한 운동 프로그램을 경험하세요. 초보자부터 전문가까지 모두 만족할 수 있는 맞춤형 피트니스 센터입니다. 바쁜 일상 속에서도 건강한 라이프스타일을 유지하세요.,샤워실 공용락커 운동복 타월,운동화,37.5459729185296,126.952989325371
4,서울특별시,용산구,청파동,PT&헬스,스포벡휘트니스 마포점,서울 마포구 마포대로 204 지하3층,0507-1341-6933,24시간 영업,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MTdfMTgz%2FMDAxNzIzODc3NjA4Nzc1.uITsTr-6PHFjG7NBggrI6F2h0onHvMUJAeIJsa-dAMIg.RYb9Z484bYpaS05Ns57uiE3Ndzya9YEC-QXqrKkHyBYg.JPEG%2F1000015497.jpg.jpg%3Ftype%3Dw1500_60_sharpen,,"스포벡휘트니스 마포점에서 건강한 변화를 시작하세요. 체계적인 피트니스 프로그램과 전문 트레이너들이 당신의 목표 달성을 도와줍니다. 최첨단 시설에서 다양한 운동을 즐길 수 있으며, 친절한 분위기로 초보자도 쉽게 적응할 수 있습니다. 건강한 삶의 시작을 이곳에서 만들어보세요.",샤워실 공용락커 운동복 타월,운동화,37.5520216887535,126.956533914305
5,서울특별시,용산구,청파동,테니스&배드민턴,효창공원 배드민턴장,서울 용산구 효창원로 177-18,,평일 09:00-18:00,,,"푸른 자연 속에서 배드민턴의 즐거움을 만끽하세요. 효창공원 배드민턴장은 넓고 잘 관리된 코트로, 누구나 편하게 이용할 수 있는 공간입니다. 친구, 가족과 함께 운동하며 건강한 시간을 보내보세요. 신선한 공기를 마시며 활력을 되찾을 수 있는 최고의 장소입니다",샤워실 공용락커,테니스화,37.544957405495,126.962290943049
6,서울특별시,용산구,청파동,테니스&배드민턴,스포원 테니스 아카데미,서울 마포구 만리재옛길 22,0507-1423-9993,06:00-22:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180111_156%2F1515658716901jOa37_JPEG%2FJm_gXOyMASLMhbXXI6oecehR.jpg,,"테니스의 기본부터 고급 기술까지, 스포원 테니스 아카데미에서 체계적으로 배워보세요. 다양한 레벨의 강습 프로그램이 준비되어 있어, 누구나 실력 향상을 기대할 수 있습니다. 친절한 코치진과 함께 즐겁게 테니스를 배우고, 건강한 라이프스타일을 만들어보세요.",샤워실 공용락커,테니스화,37.5458880023081,126.955676110374
7,서울특별시,용산구,청파동,필라테스,마이페이보릿필라테스 서울역점,서울 용산구 만리재로 178 3층,0507-1366-4024,평일 06:00-24:00 토요일 09:00-18:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20231223_164%2F1703302459003JUdsm_JPEG%2Fimage.jpg,,"서울역에서 만나는 프리미엄 필라테스, 마이페이보릿필라테스. 아늑한 분위기에서 전문가와 함께 정확한 동작을 익힐 수 있습니다. 체형 교정과 유연성 향상을 목표로 하는 분들에게 최적의 장소입니다. 직장인들에게도 접근성이 뛰어나며, 스트레스를 풀고 활력을 되찾는 시간을 가져보세요.",샤워실 공용락커 수건,토삭스,37.5540591897973,126.966113130218
8,서울특별시,용산구,청파동,필라테스,필라테스 더바른 숙대 본점,서울 용산구 청파로47길 42-1 지하1층,0507-1497-7589,07:00-22:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231216_155%2F170273114208686DMo_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2023-12-16_%25BF%25C0%25C8%25C4_9.52.11.png,,필라테스의 본질을 경험할 수 있는 필라테스 더바른 숙대 본점. 정교한 동작과 심화된 트레이닝으로 몸의 균형을 잡아줍니다. 숙련된 강사들이 맞춤형 지도를 통해 개인별 목표를 달성할 수 있도록 돕습니다. 고급스러운 환경에서 최고의 필라테스 경험을 누리세요.,샤워실 공용락커 수건,토삭스,37.5448134920071,126.968010550064
9,서울특별시,용산구,청파동,필라테스,다짐필라테스 남영역점,서울 용산구 청파로 247 애전빌딩 3층,0507-1461-3319,평일 10:00-24:00 토요일 09:00-14:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDA4MjRfMjA3%2FMDAxNzI0NDcxOTExNjkz.LcRBb34Syfi-ygh2scwH7fvcnjhANQ2uz1xShunZu6Ag.bk3l1O9o8i_ttMFUycAetqkACe5bMC8xJG2bgP7N3Wkg.JPEG%2F172447190306872835076691231853.jpg%3Ftype%3Dw1500_60_sharpen,,남영역에서 필라테스를 통해 다짐을 새롭게 다져보세요. 체계적인 프로그램으로 체형 교정과 유연성 향상을 돕습니다. 깔끔하고 아늑한 스튜디오에서 마음껏 운동을 즐길 수 있습니다. 초보자부터 경험자까지 모두 환영하는 편안한 분위기에서 건강한 변화를 경험하세요.,샤워실 공용락커 수건,토삭스,37.5417233269798,126.970401766599
10,서울특별시,용산구,청파동,필라테스,팔라테스핏,서울 용산구 청파로47길 78-18 지상 1층/2층,0507-1425-6377,평일 06:00-23:00 주말 10:00-21:00,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210512_143%2F1620802527462KHhW8_JPEG%2FKakaoTalk_20210510_205730577.jpg,,팔라테스핏에서 만나는 새로운 필라테스 경험. 고급스럽고 편안한 환경에서 체형 교정과 근력 향상을 도와드립니다. 전문 강사들이 개인 맞춤형 프로그램을 제공하여 최적의 운동 효과를 느낄 수 있습니다. 바쁜 일상 속에서도 몸과 마음의 균형을 되찾을 수 있는 곳입니다.,샤워실 공용락커 수건,토삭스,37.5452696744672,126.966096514452
