광역시,시/군/구,동/읍,운동 종류,센터 이름,주소,전화번호,운영 시간,,운동 종류 예시,,용산구,센터 개수
서울특별시,용산구,효창동,PT&헬스,휘트니스피플,서울특별시 마포구 양화로 164 (동교동) 유림빌딩 9층,02-322-2696,평일 06:00-24:00 주말 10:00-24:00,,헬스,,청파동,18
서울특별시,용산구,효창동,PT&헬스,,,,,,테니스&배드민턴,,이촌1동,18
서울특별시,용산구,효창동,테니스&배드민턴,효창공원 배드민턴장,서울 용산구 효창원로 177-18,,,,필라테스,,이촌2동,18
서울특별시,용산구,효창동,테니스&배드민턴,하나테니스 파크 ,서울 용산구 효창원로 154 1층,0507-1387-7679,24시간영업,,요가,,한강로동,18
서울특별시,용산구,효창동,필라테스,,,,,,크로스핏,,남영동,18
서울특별시,용산구,효창동,필라테스,,,,,,골프,,이태원1동,18
서울특별시,용산구,효창동,요가,,ㅎ,,,,복싱,,한남동,18
서울특별시,용산구,효창동,요가,,,,,,수영,,SUM,126
서울특별시,용산구,효창동,크로스핏,,,,,,클라이밍,,,
서울특별시,용산구,효창동,크로스핏,,,,,,,,,
서울특별시,용산구,효창동,골프,,,,,,"센터 개수는 한 동당 18개 필요하고, 운동 종류 골고루 3개씩 들어가게 하면 됩니다!",,,
서울특별시,용산구,효창동,골프,,,,,,예) 청파동 PT&헬스 3개,,,
서울특별시,용산구,효창동,복싱,,,,,,청파동 테니스&배드민턴 3개,,,
서울특별시,용산구,효창동,복싱,,,,,,청파동 필라테스 3개,,,
서울특별시,용산구,효창동,수영,,,,,,청파동 요가 3개,,,
서울특별시,용산구,효창동,수영,,,,,,청파동 크로스핏 3개,,,
서울특별시,용산구,효창동,클라이밍,,,,,,청파동 골프 3개,,,
서울특별시,용산구,효창동,클라이밍,,,,,,-----------------------,-----------------------,,
서울특별시,용산구,이촌1동,PT&헬스,,,,,,청파동 총 센터 개수 18개,,,
서울특별시,용산구,이촌1동,PT&헬스,,,,,,,,,
서울특별시,용산구,이촌1동,테니스&배드민턴,,,,,,,,,
서울특별시,용산구,이촌1동,테니스&배드민턴,,,,,,,,,
서울특별시,용산구,이촌1동,필라테스,,,,,,,,,
서울특별시,용산구,이촌1동,필라테스,,,,,,,,,
서울특별시,용산구,이촌1동,요가,,,,,,,,,
서울특별시,용산구,이촌1동,요가,,,,,,,,,
서울특별시,용산구,이촌1동,크로스핏,,,,,,,,,
서울특별시,용산구,이촌1동,크로스핏,,,,,,,,,
서울특별시,용산구,이촌1동,골프,,,,,,,,,
서울특별시,용산구,이촌1동,골프,,,,,,,,,
서울특별시,용산구,이촌1동,복싱,,,,,,,,,
서울특별시,용산구,이촌1동,복싱,,,,,,,,,
서울특별시,용산구,이촌1동,수영,,,,,,,,,
서울특별시,용산구,이촌1동,수영,,,,,,,,,
